Champion,Picks/Bans,Pick/Bans%,Bans,Picks,Players,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CS/M,Gold,Gold/Min,Damage,Damage/Min,KP,Kill_Share,Gold_Share
Brand,8,28.60%,-,8,3,3,5,37.50%,3.38,2.75,4.38,2.82,213.25,5.41,10.7,272,-,-,-,-,-
Miss Fortune,8,28.60%,-,8,4,2,6,25%,2.63,2.88,2.75,1.87,249.38,6.64,11.3,302,-,-,-,-,-
Soraka,8,28.60%,1,7,5,2,5,28.60%,0.29,2.71,8.71,3.32,17.71,0.5,6.2,174,-,-,-,-,-
Gragas,7,25%,3,4,3,3,1,75%,3.75,1,6.25,10,267,7.08,12.8,339,-,-,-,-,-
Nocturne,7,25%,3,4,3,2,2,50%,3.25,2.75,7.25,3.82,159.5,3.51,12,264,-,-,-,-,-
Irelia,7,25%,3,4,2,1,3,25%,5.5,3.25,6,3.54,262.25,5.69,14.1,306,-,-,-,-,-
Zilean,7,25%,5,2,2,1,1,50%,5,1.5,8,8.67,208.5,5.01,12.4,299,-,-,-,-,-
Akali,7,25%,6,1,1,1,0,100%,7,4,7,3.5,168,4.54,11.1,300,-,-,-,-,-
Singed,6,21.40%,2,4,2,2,2,50%,3.5,2.25,8.75,5.44,251.25,6.15,13.2,322,-,-,-,-,-
Swain,5,17.90%,-,5,4,2,3,40%,2.4,3,4.8,2.4,186.2,5.29,9.3,266,-,-,-,-,-
Caitlyn,4,14.30%,-,4,3,0,4,0%,0.5,3.75,1.25,0.47,220.75,6.96,8.3,261,-,-,-,-,-
Cho'Gath,3,10.70%,-,3,3,1,2,33.30%,1.33,1.67,2.33,2.2,209.33,6.27,9.6,289,-,-,-,-,-
Tristana,3,10.70%,-,3,2,1,2,33.30%,5.67,4.33,0.67,1.46,221.67,6.52,10.9,320,-,-,-,-,-
Trundle,3,10.70%,-,3,3,0,3,0%,0.67,3.33,2,0.8,81,2.76,5.7,194,-,-,-,-,-
Mordekaiser,3,10.70%,2,1,1,1,0,100%,3,0,9,12,324,8.6,14.3,379,-,-,-,-,-
Lee Sin,2,7.10%,-,2,2,1,1,50%,3,5,4,1.4,197,5.47,10.1,279,-,-,-,-,-
Teemo,2,7.10%,-,2,1,1,1,50%,9,3,6.5,5.17,273.5,5.9,16.9,363,-,-,-,-,-
Gangplank,1,3.60%,-,1,1,1,0,100%,3,0,10,13,120,4.15,9.1,315,-,-,-,-,-
Sion,1,3.60%,-,1,1,1,0,100%,2,0,6,8,253,7.54,11.9,355,-,-,-,-,-
Blitzcrank,1,3.60%,-,1,1,0,1,0%,8,4,17,6.25,253,4.71,15.3,285,-,-,-,-,-
Dr. Mundo,1,3.60%,-,1,1,0,1,0%,0,3,1,0.33,167,5.35,6.6,211,-,-,-,-,-
Garen,1,3.60%,-,1,1,0,1,0%,5,5,3,1.6,110,3.71,7.6,256,-,-,-,-,-
Kassadin,1,3.60%,-,1,1,0,1,0%,3,3,0,1,166,5.6,7.4,250,-,-,-,-,-
Lux,1,3.60%,-,1,1,0,1,0%,1,3,1,0.67,98,3.39,5.6,194,-,-,-,-,-
Poppy,1,3.60%,-,1,1,0,1,0%,0,2,4,2,82,2.84,5.8,201,-,-,-,-,-
Rammus,1,3.60%,-,1,1,0,1,0%,1,4,5,1.5,100,2.44,8.8,215,-,-,-,-,-
Urgot,1,3.60%,-,1,1,0,1,0%,2,3,2,1.33,140,4.84,6.5,225,-,-,-,-,-
