Vayne,3,2.60%,-,3,3,2,1,66.70%,6.67,2.33,3,4.14,256.33,8.37,13.3,433,16.9k,551,61.70%,42.60%,23.40%,
Cassiopeia,3,2.60%,1,2,2,1,1,50%,2.5,3,4.5,2.33,283.5,9.65,12.4,420,16.4k,558,82.40%,29.40%,25.60%,
Elise,3,2.60%,1,2,1,1,1,50%,2.5,4,5.5,2,179,5.23,10.6,309,11.5k,335,66.70%,20.80%,18%,
Vel'Koz,3,2.60%,1,2,2,0,2,0%,1.5,3,1,0.83,248.5,8.95,10,359,13.5k,486,38.50%,23.10%,22.80%,
Morgana,3,2.60%,2,1,1,1,0,100%,1,3,10,3.67,34,1.15,7.5,251,7.2k,244,57.90%,5.30%,12.80%,
Gnar,2,1.80%,-,2,2,2,0,100%,1,1.5,6,4.67,266,8.35,12.3,386,12.5k,394,50%,7.10%,20.20%,
Fiora,2,1.80%,-,2,2,1,1,50%,5,4,2.5,1.88,320.5,9.4,14.8,434,21.3k,623,53.60%,35.70%,24.60%,
Kayle,2,1.80%,-,2,2,0,2,0%,1,3.5,1,0.57,268.5,8.88,11,363,13.2k,438,36.40%,18.20%,22.80%,
Urgot,2,1.80%,-,2,2,0,2,0%,6,3,2,2.67,240.5,7.12,12.5,369,9.7k,288,80%,60%,23.40%,
Zilean,2,1.80%,-,2,1,0,2,0%,0.5,1,4,4.5,250.5,7.68,10.7,328,9.5k,290,60%,6.70%,20.80%,
LeBlanc,2,1.80%,1,1,1,0,1,0%,2,4,4,1.5,289,7.83,13.7,371,11.9k,323,60%,20%,23.10%,
Quinn,2,1.80%,1,1,1,0,1,0%,2,4,6,2,262,8.15,12.7,394,16.8k,523,88.90%,22.20%,22.10%,
Maokai,1,0.90%,-,1,1,1,0,100%,1,3,8,3,245,8.17,11,368,16.6k,553,69.20%,7.70%,18.50%,
Nocturne,1,0.90%,-,1,1,1,0,100%,5,3,5,3.33,266,8.27,13.3,415,10.6k,331,66.70%,33.30%,22.60%,
Rengar,1,0.90%,-,1,1,1,0,100%,2,1,10,12,211,6.08,11.9,344,10.6k,306,60%,10%,18.40%,
Singed,1,0.90%,-,1,1,1,0,100%,2,3,8,3.33,263,7.8,12.9,382,11.5k,341,66.70%,13.30%,20.60%,
Aatrox,1,0.90%,-,1,1,0,1,0%,1,3,1,0.67,202,6.55,9,293,6.4k,206,66.70%,33.30%,20%,
Corki,1,0.90%,-,1,1,0,1,0%,2,4,1,0.75,293,9.88,12.2,412,18.7k,631,37.50%,25%,24.90%,
Kha'Zix,1,0.90%,-,1,1,0,1,0%,2,6,4,1,154,5.18,8.8,297,9.8k,330,100%,33.30%,18.80%,
Kog'Maw,1,0.90%,-,1,1,0,1,0%,1,2,3,2,334,8.85,13.7,363,20k,530,57.10%,14.30%,22.10%,
Poppy,1,0.90%,-,1,1,0,1,0%,5,4,9,3.5,235,6.23,14,372,20.6k,545,77.80%,27.80%,20.80%,
Ryze,1,0.90%,-,1,1,0,1,0%,1,4,4,1.25,177,7.45,7.7,324,5.9k,249,62.50%,12.50%,20.20%,
Skarner,1,0.90%,-,1,1,0,1,0%,0,6,2,0.33,118,4.28,6.8,246,3.5k,126,50%,0%,16.90%,
Xayah,1,0.90%,-,1,1,0,1,0%,4,4,3,1.75,346,10.35,14.9,445,15.3k,459,87.50%,50%,28.50%,
Olaf,1,0.90%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
